t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
4.7,-585.589634,-244.159345,-597.277181,-244.146359,-246.632795,-597.276748,-244.146359,-246.632795,-246.632657,-249.118956,
4.8,-610.005568,-249.132216,-621.940461,-249.118955,-251.605115,-621.940019,-249.118956,-251.605116,-251.604977,-254.090999,
4.9,-634.918790,-254.104535,-647.100972,-254.090999,-256.576883,-647.100521,-254.090999,-256.576883,-256.576745,-259.062491,
5.0,-660.329243,-259.076301,-672.758661,-259.062490,-261.548098,-672.758200,-259.062491,-261.548099,-261.547960,-264.033430,
5.1,-686.236873,-264.047515,-698.913470,-264.033429,-266.518761,-698.913001,-264.033430,-266.518761,-266.518623,-269.003817,
5.2,-712.641625,-269.018176,-725.565347,-269.003816,-271.488872,-725.564868,-269.003817,-271.488872,-271.488734,-273.973651,
5.3,-739.543442,-273.988285,-752.714234,-273.973651,-276.458430,-752.713746,-273.973651,-276.458431,-276.458293,-278.942934,
5.4,-766.942271,-278.957842,-780.360077,-278.942933,-281.427436,-780.359580,-278.942934,-281.427437,-281.427299,-283.911664,
5.5,-794.838055,-283.926847,-808.502820,-283.911664,-286.395891,-808.502314,-283.911664,-286.395891,-286.395753,-288.879842,
5.6,-823.230740,-288.895299,-837.142409,-288.879842,-291.363793,-837.141894,-288.879842,-291.363793,-291.363655,-293.847469,
5.7,-852.120270,-293.863200,-866.278789,-293.847468,-296.331143,-866.278264,-293.847469,-296.331144,-296.331006,-298.814543,
5.8,-881.506590,-298.830548,-895.911903,-298.814542,-301.297942,-895.911369,-298.814543,-301.297942,-301.297804,-303.781065,
5.9,-911.389645,-303.797345,-926.041697,-303.781065,-306.264188,-926.041154,-303.781065,-306.264189,-306.264051,-308.747036,
6.0,-941.769379,-308.763590,-956.668116,-308.747035,-311.229883,-956.667564,-308.747036,-311.229883,-311.229745,-313.712455,
6.1,-972.645738,-313.729283,-987.791104,-313.712454,-316.195026,-987.790543,-313.712455,-316.195026,-316.194889,-318.677322,
6.2,-1004.018666,-318.694424,-1019.410607,-318.677322,-321.159617,-1019.410037,-318.677322,-321.159618,-321.159480,-323.641638,
6.3,-1035.888109,-323.659013,-1051.526569,-323.641637,-326.123657,-1051.525989,-323.641638,-326.123658,-326.123520,-328.605402,
6.4,-1068.254010,-328.623051,-1084.138934,-328.605401,-331.087145,-1084.138346,-328.605402,-331.087146,-331.087008,-333.568614,
6.5,-1101.116315,-333.586537,-1117.247649,-333.568614,-336.050082,-1117.247051,-333.568614,-336.050083,-336.049945,-338.531276,
6.6,-1134.474969,-338.549472,-1150.852657,-338.531275,-341.012468,-1150.852050,-338.531275,-341.012468,-341.012330,-343.493385,
6.7,-1168.329916,-343.511856,-1184.953904,-343.493385,-345.974302,-1184.953288,-343.493385,-345.974302,-345.974164,-348.454944,
6.8,-1202.681102,-348.473688,-1219.551334,-348.454943,-350.935584,-1219.550709,-348.454944,-350.935585,-350.935447,-353.415951,
6.9,-1237.528470,-353.434968,-1254.644892,-353.415950,-355.896316,-1254.644258,-353.415951,-355.896317,-355.896179,-358.376407,
7.0,-1272.871967,-358.395698,-1290.234524,-358.376406,-360.856496,-1290.233881,-358.376407,-360.856497,-360.856359,-363.336312,
7.1,-1308.711537,-363.355876,-1326.320174,-363.336311,-365.816126,-1326.319521,-363.336312,-365.816126,-365.815989,-368.295665,
7.2,-1345.047125,-368.315503,-1362.901786,-368.295665,-370.775204,-1362.901125,-368.295665,-370.775205,-370.775067,-373.254468,
7.3,-1381.878675,-373.274579,-1399.979307,-373.254467,-375.733731,-1399.978636,-373.254468,-375.733732,-375.733594,-378.212720,
7.4,-1419.206133,-378.233104,-1437.552680,-378.212719,-380.691707,-1437.552000,-378.212720,-380.691708,-380.691570,-383.170421,
7.5,-1457.029443,-383.191078,-1475.621850,-383.170420,-385.649133,-1475.621162,-383.170421,-385.649134,-385.648996,-388.127571,
7.6,-1495.348551,-388.148502,-1514.186764,-388.127570,-390.606008,-1514.186066,-388.127571,-390.606008,-390.605871,-393.084170,
7.7,-1534.163401,-393.105374,-1553.247364,-393.084170,-395.562332,-1553.246658,-393.084170,-395.562332,-395.562195,-398.040219,
7.8,-1573.473939,-398.061696,-1592.803598,-398.040218,-400.518105,-1592.802882,-398.040219,-400.518106,-400.517968,-402.995717,
7.9,-1613.280108,-403.017467,-1632.855408,-402.995716,-405.473328,-1632.854683,-402.995717,-405.473328,-405.473191,-407.950664,
8.0,-1653.581855,-407.972687,-1673.402741,-407.950664,-410.428000,-1673.402007,-407.950664,-410.428001,-410.427863,-412.905061,
8.1,-1694.379124,-412.927357,-1714.445541,-412.905061,-415.382121,-1714.444798,-412.905061,-415.382122,-415.381985,-417.858908,
8.2,-1735.671859,-417.881476,-1755.983753,-417.858907,-420.335693,-1755.983001,-417.858908,-420.335693,-420.335556,-422.812204,
8.3,-1777.460007,-422.835044,-1798.017322,-422.812203,-425.288713,-1798.016561,-422.812204,-425.288714,-425.288577,-427.764950,
8.4,-1819.743511,-427.788063,-1840.546194,-427.764949,-430.241184,-1840.545423,-427.764950,-430.241185,-430.241047,-432.717145,
8.5,-1862.522317,-432.740531,-1883.570312,-432.717144,-435.193104,-1883.569532,-432.717145,-435.193105,-435.192968,-437.668790,
8.6,-1905.796371,-437.692448,-1927.089622,-437.668789,-440.144474,-1927.088834,-437.668790,-440.144475,-440.144338,-442.619885,
8.7,-1949.565615,-442.643816,-1971.104070,-442.619884,-445.095294,-1971.103272,-442.619885,-445.095295,-445.095158,-447.570430,
8.8,-1993.829997,-447.594633,-2015.613599,-447.570429,-450.045564,-2015.612792,-447.570430,-450.045565,-450.045428,-452.520425,
8.9,-2038.589460,-452.544901,-2060.618156,-452.520424,-454.995284,-2060.617340,-452.520425,-454.995285,-454.995148,-457.469870,
9.0,-2083.843950,-457.494618,-2106.117684,-457.469869,-459.944454,-2106.116859,-457.469870,-459.944455,-459.944318,-462.418765,
9.1,-2129.593412,-462.443785,-2152.112129,-462.418764,-464.893074,-2152.111295,-462.418765,-464.893075,-464.892938,-467.367110,
9.2,-2175.837791,-467.392402,-2198.601437,-467.367110,-469.841145,-2198.600594,-467.367110,-469.841146,-469.841008,-472.314906,
9.3,-2222.577031,-472.340470,-2245.585551,-472.314905,-474.788665,-2245.584699,-472.314906,-474.788666,-474.788529,-477.262152,
9.4,-2269.811078,-477.287988,-2293.064418,-477.262151,-479.735636,-2293.063557,-477.262152,-479.735637,-479.735500,-482.208848,
9.5,-2317.539877,-482.234956,-2341.037982,-482.208847,-484.682057,-2341.037111,-482.208848,-484.682058,-484.681921,-487.154994,
9.6,-2365.763372,-487.181374,-2389.506187,-487.154993,-489.627929,-2389.505308,-487.154994,-489.627930,-489.627793,-492.100591,
9.7,-2414.481510,-492.127243,-2438.468980,-492.100590,-494.573251,-2438.468092,-492.100591,-494.573252,-494.573115,-497.045638,
9.8,-2463.694234,-497.072562,-2487.926305,-497.045637,-499.518024,-2487.925408,-497.045638,-499.518025,-499.517887,-501.990136,
9.9,-2513.401490,-502.017332,-2537.878108,-501.990135,-504.462247,-2537.877201,-501.990136,-504.462248,-504.462111,-506.934085,
10.0,-2563.603223,-506.961552,-2588.324332,-506.934084,-509.405921,-2588.323417,-506.934085,-509.405922,-509.405785,-511.877484,
10.1,-2614.299379,-511.905223,-2639.264924,-511.877483,-514.349046,-2639.264000,-511.877484,-514.349047,-514.348909,-516.820335,
10.2,-2665.489901,-516.848345,-2690.699829,-516.820334,-519.291621,-2690.698895,-516.820335,-519.291622,-519.291485,-521.762636,
10.3,-2717.174735,-521.790917,-2742.628991,-521.762634,-524.233648,-2742.628048,-521.762636,-524.233649,-524.233511,-526.704387,
10.4,-2769.353827,-526.732940,-2795.052356,-526.704386,-529.175125,-2795.051404,-526.704387,-529.175126,-529.174989,-531.645590,
10.5,-2822.027121,-531.674414,-2847.969868,-531.645589,-534.116053,-2847.968908,-531.645590,-534.116054,-534.115917,-536.586244,
10.6,-2875.194562,-536.615339,-2901.381474,-536.586243,-539.056432,-2901.380504,-536.586244,-539.056434,-539.056296,-541.526349,
10.7,-2928.856096,-541.555715,-2955.287117,-541.526348,-543.996263,-2955.286138,-541.526349,-543.996264,-543.996127,-546.465905,
10.8,-2983.011668,-546.495543,-3009.686743,-546.465904,-548.935544,-3009.685755,-546.465905,-548.935545,-548.935408,-551.404912,
10.9,-3037.661222,-551.434821,-3064.580298,-551.404911,-553.874277,-3064.579301,-551.404912,-553.874278,-553.874141,-556.343370,
11.0,-3092.804704,-556.373550,-3119.967725,-556.343369,-558.812461,-3119.966719,-556.343370,-558.812462,-558.812325,-561.281280,
11.1,-3148.442059,-561.311731,-3175.848972,-561.281279,-563.750097,-3175.847957,-561.281280,-563.750098,-563.749961,-566.218641,
11.2,-3204.573232,-566.249363,-3232.223981,-566.218640,-568.687183,-3232.222957,-566.218641,-568.687185,-568.687047,-571.155454,
11.3,-3261.198169,-571.186446,-3289.092700,-571.155453,-573.623722,-3289.091666,-571.155454,-573.623723,-573.623586,-576.091718,
11.4,-3318.316813,-576.122981,-3346.455072,-576.091717,-578.559711,-3346.454030,-576.091718,-578.559713,-578.559576,-581.027433,
11.5,-3375.929111,-581.058968,-3404.311043,-581.027432,-583.495153,-3404.309992,-581.027433,-583.495154,-583.495017,-585.962601,
11.6,-3434.035008,-585.994406,-3462.660558,-585.962599,-588.430046,-3462.659498,-585.962601,-588.430047,-588.429910,-590.897219,
11.7,-3492.634449,-590.929295,-3521.503563,-590.897218,-593.364391,-3521.502494,-590.897219,-593.364392,-593.364255,-595.831290,
11.8,-3551.727378,-595.863636,-3580.840002,-595.831289,-598.298187,-3580.838924,-595.831290,-598.298188,-598.298051,-600.764813,
11.9,-3611.313742,-600.797429,-3640.669821,-600.764811,-603.231435,-3640.668733,-600.764813,-603.231437,-603.231300,-605.697787,
12.0,-3671.393485,-605.730674,-3700.992964,-605.697786,-608.164136,-3700.991868,-605.697787,-608.164137,-608.164000,-610.630213,
12.1,-3731.966552,-610.663370,-3761.809378,-610.630212,-613.096288,-3761.808272,-610.630213,-613.096289,-613.096152,-615.562091,
12.2,-3793.032889,-615.595519,-3823.119006,-615.562090,-618.027892,-3823.117892,-615.562091,-618.027893,-618.027756,-620.493421,
12.3,-3854.592441,-620.527120,-3884.921796,-620.493420,-622.958948,-3884.920672,-620.493421,-622.958950,-622.958813,-625.424204,
12.4,-3916.645153,-625.458172,-3947.217690,-625.424203,-627.889457,-3947.216558,-625.424204,-627.889458,-627.889321,-630.354438,
12.5,-3979.190970,-630.388677,-4010.006636,-630.354437,-632.819417,-4010.005495,-630.354438,-632.819419,-632.819282,-635.284125,
12.6,-4042.229838,-635.318634,-4073.288578,-635.284124,-637.748830,-4073.287428,-635.284125,-637.748832,-637.748695,-640.213264,
12.7,-4105.761701,-640.248043,-4137.063461,-640.213263,-642.677695,-4137.062302,-640.213264,-642.677697,-642.677560,-645.141855,
12.8,-4169.786506,-645.176904,-4201.331230,-645.141854,-647.606013,-4201.330062,-645.141855,-647.606014,-647.605877,-650.069899,
12.9,-4234.304196,-650.105218,-4266.091832,-650.069898,-652.533783,-4266.090654,-650.069899,-652.533784,-652.533647,-654.997396,
13.0,-4299.314718,-655.032984,-4331.345210,-654.997394,-657.461005,-4331.344024,-654.997396,-657.461007,-657.460870,-659.924344,
13.1,-4364.818016,-659.960202,-4397.091311,-659.924343,-662.387681,-4397.090115,-659.924344,-662.387682,-662.387545,-664.850746,
13.2,-4430.814036,-664.886873,-4463.330079,-664.850744,-667.313808,-4463.328874,-664.850746,-667.313810,-667.313673,-669.776600,
13.3,-4497.302724,-669.812997,-4530.061459,-669.776598,-672.239389,-4530.060246,-669.776600,-672.239390,-672.239253,-674.701906,
13.4,-4564.284023,-674.738573,-4597.285398,-674.701905,-677.164422,-4597.284176,-674.701906,-677.164423,-677.164286,-679.626666,
13.5,-4631.757881,-679.663602,-4665.001841,-679.626665,-682.088908,-4665.000609,-679.626666,-682.088909,-682.088772,-684.550878,
13.6,-4699.724241,-684.588084,-4733.210731,-684.550877,-687.012846,-4733.209491,-684.550878,-687.012848,-687.012711,-689.474544,
13.7,-4768.183049,-689.512019,-4801.912016,-689.474542,-691.936238,-4801.910767,-689.474544,-691.936239,-691.936103,-694.397662,
13.8,-4837.134251,-694.435406,-4871.105640,-694.397660,-696.859083,-4871.104382,-694.397662,-696.859084,-696.858947,-699.320233,
13.9,-4906.577792,-699.358247,-4940.791548,-699.320232,-701.781380,-4940.790281,-699.320233,-701.781382,-701.781245,-704.242257,
14.0,-4976.513617,-704.280540,-5010.969686,-704.242256,-706.703131,-5010.968410,-704.242257,-706.703133,-706.702996,-709.163735,
14.1,-5046.941671,-709.202287,-5081.639999,-709.163733,-711.624335,-5081.638714,-709.163735,-711.624337,-711.624200,-714.084665,
14.2,-5117.861899,-714.123487,-5152.802433,-714.084664,-716.544993,-5152.801139,-714.084665,-716.544994,-716.544857,-719.005049,
14.3,-5189.274248,-719.044140,-5224.456932,-719.005048,-721.465103,-5224.455629,-719.005049,-721.465105,-721.464968,-723.924887,
14.4,-5261.178662,-723.964246,-5296.603442,-723.924885,-726.384667,-5296.602130,-723.924887,-726.384668,-726.384532,-728.844177,
14.5,-5333.575087,-728.883805,-5369.241909,-728.844176,-731.303684,-5369.240588,-728.844177,-731.303686,-731.303549,-733.762921,
14.6,-5406.463467,-733.802818,-5442.372277,-733.762920,-736.222155,-5442.370947,-733.762921,-736.222157,-736.222020,-738.681119,
14.7,-5479.843749,-738.721285,-5515.994493,-738.681117,-741.140079,-5515.993154,-738.681119,-741.140081,-741.139944,-743.598770,
14.8,-5553.715877,-743.639205,-5590.108501,-743.598768,-746.057457,-5590.107153,-743.598770,-746.057459,-746.057322,-748.515875,
14.9,-5628.079798,-748.556578,-5664.714247,-748.515873,-750.974289,-5664.712890,-748.515875,-750.974290,-750.974154,-753.432433,
15.0,-5702.935456,-753.473405,-5739.811675,-753.432431,-755.890574,-5739.810310,-753.432433,-755.890576,-755.890439,-758.348445,
15.1,-5778.282796,-758.389686,-5815.400733,-758.348444,-760.806313,-5815.399358,-758.348445,-760.806315,-760.806178,-763.263911,
15.2,-5854.121765,-763.305420,-5891.481364,-763.263910,-765.721506,-5891.479981,-763.263911,-765.721508,-765.721371,-768.178831,
15.3,-5930.452307,-768.220609,-5968.053515,-768.178829,-770.636153,-5968.052122,-768.178831,-770.636154,-770.636018,-773.093205,
15.4,-6007.274368,-773.135251,-6045.117130,-773.093203,-775.550254,-6045.115729,-773.093205,-775.550255,-775.550119,-778.007033,
15.5,-6084.587893,-778.049347,-6122.672155,-778.007031,-780.463808,-6122.670745,-778.007033,-780.463810,-780.463673,-782.920314,
15.6,-6162.392827,-782.962897,-6200.718536,-782.920313,-785.376817,-6200.717117,-782.920314,-785.376819,-785.376682,-787.833050,
15.7,-6240.689117,-787.875901,-6279.256218,-787.833049,-790.289280,-6279.254790,-787.833050,-790.289282,-790.289145,-792.745240,
15.8,-6319.476707,-792.788359,-6358.285146,-792.745239,-795.201197,-6358.283709,-792.745240,-795.201199,-795.201062,-797.656885,
15.9,-6398.755543,-797.700272,-6437.805266,-797.656883,-800.112569,-6437.803819,-797.656885,-800.112570,-800.112434,-802.567983,
16.0,-6478.525570,-802.611638,-6517.816523,-802.567982,-805.023395,-6517.815067,-802.567983,-805.023396,-805.023260,-807.478536,
16.1,-6558.786734,-807.522459,-6598.318862,-807.478535,-809.933675,-6598.317398,-807.478536,-809.933676,-809.933540,-812.388544,
16.2,-6639.538980,-812.432734,-6679.312230,-812.388542,-814.843409,-6679.310756,-812.388544,-814.843411,-814.843275,-817.298005,
16.3,-6720.782253,-817.342464,-6760.796570,-817.298004,-819.752598,-6760.795088,-817.298005,-819.752600,-819.752464,-822.206922,
16.4,-6802.516500,-822.251648,-6842.771830,-822.206920,-824.661242,-6842.770339,-822.206922,-824.661244,-824.661107,-827.115293,
16.5,-6884.741665,-827.160287,-6925.237954,-827.115291,-829.569340,-6925.236455,-827.115293,-829.569342,-829.569206,-832.023118,
16.6,-6967.457693,-832.068380,-7008.194889,-832.023117,-834.476893,-7008.193380,-832.023118,-834.476895,-834.476759,-836.930399,
16.7,-7050.664531,-836.975928,-7091.642578,-836.930397,-839.383901,-7091.641060,-836.930399,-839.383903,-839.383766,-841.837134,
16.8,-7134.362124,-841.882931,-7175.580968,-841.837132,-844.290364,-7175.579441,-841.837134,-844.290365,-844.290229,-846.743324,
16.9,-7218.550417,-846.789388,-7260.010004,-846.743322,-849.196281,-7260.008469,-846.743324,-849.196283,-849.196146,-851.648969,
17.0,-7303.229356,-851.695301,-7344.929632,-851.648967,-854.101653,-7344.928088,-851.648969,-854.101655,-854.101519,-856.554069,
17.1,-7388.398886,-856.600668,-7430.339798,-856.554067,-859.006481,-7430.338244,-856.554069,-859.006482,-859.006346,-861.458623,
17.2,-7474.058953,-861.505490,-7516.240446,-861.458622,-863.910763,-7516.238884,-861.458623,-863.910765,-863.910628,-866.362633,
17.3,-7560.209502,-866.409767,-7602.631522,-866.362632,-868.814500,-7602.629951,-866.362633,-868.814502,-868.814366,-871.266098,
17.4,-7646.850479,-871.313499,-7689.512972,-871.266097,-873.717693,-7689.511392,-871.266098,-873.717695,-873.717559,-876.169019,
17.5,-7733.981829,-876.216687,-7776.884741,-876.169017,-878.620341,-7776.883152,-876.169019,-878.620343,-878.620206,-881.071394,
17.6,-7821.603497,-881.119329,-7864.746776,-881.071392,-883.522444,-7864.745178,-881.071394,-883.522446,-883.522310,-885.973225,
17.7,-7909.715430,-886.021427,-7953.099020,-885.973223,-888.424003,-7953.097413,-885.973225,-888.424004,-888.423868,-890.874511,
17.8,-7998.317573,-890.922980,-8041.941420,-890.874510,-893.325017,-8041.939805,-890.874511,-893.325018,-893.324882,-895.775253,
17.9,-8087.409871,-895.823989,-8131.273922,-895.775251,-898.225486,-8131.272297,-895.775253,-898.225488,-898.225352,-900.675450,
18.0,-8176.992270,-900.724453,-8221.096470,-900.675448,-903.125411,-8221.094837,-900.675450,-903.125413,-903.125277,-905.575103,
18.1,-8267.064715,-905.624373,-8311.409011,-905.575101,-908.024791,-8311.407369,-905.575103,-908.024793,-908.024657,-910.474211,
18.2,-8357.627153,-910.523748,-8402.211491,-910.474209,-912.923628,-8402.209839,-910.474211,-912.923629,-912.923493,-915.372775,
18.3,-8448.679527,-915.422578,-8493.503853,-915.372773,-917.821919,-8493.502193,-915.372775,-917.821921,-917.821785,-920.270795,
18.4,-8540.221785,-920.320865,-8585.286045,-920.270793,-922.719667,-8585.284376,-920.270795,-922.719669,-922.719533,-925.168271,
18.5,-8632.253872,-925.218607,-8677.558012,-925.168269,-927.616871,-8677.556334,-925.168271,-927.616873,-927.616736,-930.065202,
18.6,-8724.775732,-930.115805,-8770.319699,-930.065200,-932.513530,-8770.318012,-930.065202,-932.513532,-932.513396,-934.961590,
18.7,-8817.787313,-935.012459,-8863.571052,-934.961588,-937.409645,-8863.569356,-934.961590,-937.409647,-937.409511,-939.857433,
18.8,-8911.288559,-939.908568,-8957.312017,-939.857431,-942.305217,-8957.310312,-939.857433,-942.305219,-942.305083,-944.752732,
18.9,-9005.279415,-944.804134,-9051.542538,-944.752731,-947.200244,-9051.540825,-944.752732,-947.200246,-947.200110,-949.647488,
19.0,-9099.759829,-949.699156,-9146.262563,-949.647486,-952.094728,-9146.260840,-949.647488,-952.094730,-952.094594,-954.541700,
19.1,-9194.729744,-954.593634,-9241.472036,-954.541698,-956.988668,-9241.470304,-954.541700,-956.988670,-956.988534,-959.435368,
19.2,-9290.189108,-959.487568,-9337.170902,-959.435366,-961.882064,-9337.169162,-959.435368,-961.882066,-961.881930,-964.328492,
19.3,-9386.137865,-964.380958,-9433.359109,-964.328490,-966.774916,-9433.357360,-964.328492,-966.774918,-966.774782,-969.221072,
19.4,-9482.575960,-969.273804,-9530.036600,-969.221070,-971.667225,-9530.034843,-969.221072,-971.667227,-971.667091,-974.113109,
19.5,-9579.503341,-974.166107,-9627.203323,-974.113107,-976.558990,-9627.201556,-974.113109,-976.558992,-976.558856,-979.004603,
19.6,-9676.919952,-979.057867,-9724.859222,-979.004601,-981.450212,-9724.857446,-979.004603,-981.450214,-981.450078,-983.895553,
19.7,-9774.825738,-983.949083,-9823.004243,-983.895551,-986.340890,-9823.002459,-983.895553,-986.340892,-986.340756,-988.785959,
19.8,-9873.220646,-988.839755,-9921.638332,-988.785957,-991.231025,-9921.636539,-988.785959,-991.231027,-991.230891,-993.675823,
19.9,-9972.104622,-993.729884,-10020.761434,-993.675821,-996.120616,-10020.759632,-993.675823,-996.120618,-996.120483,-998.565143,
20.0,-10071.477610,-998.619469,-10120.373496,-998.565141,-1001.009665,-10120.371685,-998.565143,-1001.009667,-1001.009531,-1003.453919,
20.1,-10171.339557,-1003.508512,-10220.474463,-1003.453917,-1005.898170,-10220.472643,-1003.453919,-1005.898172,-1005.898036,-1008.342153,
20.2,-10271.690408,-1008.397011,-10321.064280,-1008.342151,-1010.786132,-10321.062451,-1008.342153,-1010.786134,-1010.785998,-1013.229843,
20.3,-10372.530110,-1013.284967,-10422.142893,-1013.229841,-1015.673551,-10422.141055,-1013.229843,-1015.673553,-1015.673417,-1018.116991,
20.4,-10473.858606,-1018.172379,-10523.710248,-1018.116989,-1020.560427,-10523.708401,-1018.116991,-1020.560429,-1020.560293,-1023.003595,
20.5,-10575.675844,-1023.059249,-10625.766290,-1023.003593,-1025.446759,-10625.764435,-1023.003595,-1025.446762,-1025.446626,-1027.889657,
20.6,-10677.981769,-1027.945576,-10728.310966,-1027.889654,-1030.332550,-10728.309102,-1027.889657,-1030.332552,-1030.332416,-1032.775175,
20.7,-10780.776327,-1032.831360,-10831.344221,-1032.775173,-1035.217797,-10831.342348,-1032.775175,-1035.217799,-1035.217663,-1037.660151,
20.8,-10884.059463,-1037.716601,-10934.866001,-1037.660149,-1040.102501,-10934.864119,-1037.660151,-1040.102503,-1040.102368,-1042.544584,
20.9,-10987.831123,-1042.601299,-11038.876251,-1042.544582,-1044.986663,-11038.874361,-1042.544584,-1044.986665,-1044.986529,-1047.428474,
21.0,-11092.091252,-1047.485454,-11143.374917,-1047.428472,-1049.870282,-11143.373018,-1047.428474,-1049.870284,-1049.870148,-1052.311822,
21.1,-11196.839798,-1052.369067,-11248.361946,-1052.311820,-1054.753358,-11248.360037,-1052.311822,-1054.753360,-1054.753225,-1057.194627,
21.2,-11302.076705,-1057.252137,-11353.837281,-1057.194625,-1059.635892,-11353.835364,-1057.194627,-1059.635894,-1059.635759,-1062.076890,
21.3,-11407.801918,-1062.134665,-11459.800871,-1062.076888,-1064.517884,-11459.798945,-1062.076890,-1064.517886,-1064.517750,-1066.958610,
21.4,-11514.015385,-1067.016650,-11566.252659,-1066.958608,-1069.399333,-11566.250724,-1066.958610,-1069.399335,-1069.399199,-1071.839788,
21.5,-11620.717050,-1071.898092,-11673.192592,-1071.839786,-1074.280239,-11673.190649,-1071.839788,-1074.280242,-1074.280106,-1076.720424,
21.6,-11727.906859,-1076.778992,-11780.620616,-1076.720422,-1079.160604,-11780.618664,-1076.720424,-1079.160606,-1079.160470,-1081.600517,
21.7,-11835.584758,-1081.659350,-11888.536677,-1081.600515,-1084.040426,-11888.534715,-1081.600517,-1084.040428,-1084.040293,-1086.480068,
21.8,-11943.750693,-1086.539166,-11996.940719,-1086.480066,-1088.919706,-11996.938749,-1086.480068,-1088.919708,-1088.919573,-1091.359077,
21.9,-12052.404610,-1091.418439,-12105.832690,-1091.359075,-1093.798444,-12105.830711,-1091.359077,-1093.798446,-1093.798310,-1096.237544,
22.0,-12161.546454,-1096.297171,-12215.212534,-1096.237542,-1098.676640,-12215.210547,-1096.237544,-1098.676642,-1098.676506,-1101.115469,
22.1,-12271.176171,-1101.175360,-12325.080198,-1101.115466,-1103.554293,-12325.078202,-1101.115469,-1103.554296,-1103.554160,-1105.992852,
22.2,-12381.293707,-1106.053007,-12435.435627,-1105.992849,-1108.431405,-12435.433622,-1105.992852,-1108.431407,-1108.431272,-1110.869693,
22.3,-12491.899007,-1110.930112,-12546.278768,-1110.869690,-1113.307975,-12546.276754,-1110.869692,-1113.307978,-1113.307842,-1115.745992,
22.4,-12602.992019,-1115.806676,-12657.609565,-1115.745989,-1118.184003,-12657.607543,-1115.745992,-1118.184006,-1118.183870,-1120.621749,
22.5,-12714.572686,-1120.682697,-12769.427966,-1120.621747,-1123.059490,-12769.425934,-1120.621749,-1123.059492,-1123.059357,-1125.496965,
22.6,-12826.640956,-1125.558177,-12881.733915,-1125.496962,-1127.934435,-12881.731874,-1125.496965,-1127.934437,-1127.934302,-1130.371639,
22.7,-12939.196774,-1130.433115,-12994.527358,-1130.371636,-1132.808838,-12994.525309,-1130.371639,-1132.808840,-1132.808705,-1135.245771,
22.8,-13052.240085,-1135.307511,-13107.808242,-1135.245769,-1137.682699,-13107.806184,-1135.245771,-1137.682702,-1137.682566,-1140.119362,
22.9,-13165.770836,-1140.181366,-13221.576512,-1140.119359,-1142.556019,-13221.574445,-1140.119362,-1142.556022,-1142.555886,-1144.992411,
23.0,-13279.788973,-1145.054679,-13335.832114,-1144.992409,-1147.428798,-13335.830038,-1144.992411,-1147.428800,-1147.428665,-1149.864919,
23.1,-13394.294441,-1149.927451,-13450.574994,-1149.864917,-1152.301035,-13450.572909,-1149.864919,-1152.301038,-1152.300902,-1154.736886,
23.2,-13509.287186,-1154.799681,-13565.805097,-1154.736883,-1157.172731,-13565.803004,-1154.736886,-1157.172734,-1157.172598,-1159.608311,
23.3,-13624.767154,-1159.671370,-13681.522370,-1159.608308,-1162.043886,-13681.520268,-1159.608311,-1162.043888,-1162.043753,-1164.479195,
23.4,-13740.734291,-1164.542517,-13797.726759,-1164.479192,-1166.914499,-13797.724648,-1164.479195,-1166.914502,-1166.914366,-1169.349538,
23.5,-13857.188543,-1169.413124,-13914.418209,-1169.349535,-1171.784571,-13914.416089,-1169.349538,-1171.784574,-1171.784439,-1174.219339,
23.6,-13974.129855,-1174.283189,-14031.596666,-1174.219337,-1176.654103,-14031.594538,-1174.219339,-1176.654105,-1176.653970,-1179.088600,
23.7,-14091.558174,-1179.152713,-14149.262076,-1179.088598,-1181.523093,-14149.259939,-1179.088600,-1181.523095,-1181.522960,-1183.957320,
23.8,-14209.473445,-1184.021696,-14267.414386,-1183.957317,-1186.391542,-14267.412240,-1183.957320,-1186.391544,-1186.391409,-1188.825498,
23.9,-14327.875615,-1188.890138,-14386.053540,-1188.825496,-1191.259450,-14386.051385,-1188.825498,-1191.259453,-1191.259317,-1193.693136,
24.0,-14446.764629,-1193.758039,-14505.179485,-1193.693134,-1196.126818,-14505.177321,-1193.693136,-1196.126820,-1196.126685,-1198.560233,
24.1,-14566.140432,-1198.625400,-14624.792167,-1198.560231,-1200.993644,-14624.789994,-1198.560233,-1200.993647,-1200.993511,-1203.426790,
24.2,-14686.002972,-1203.492219,-14744.891531,-1203.426787,-1205.859930,-14744.889350,-1203.426790,-1205.859933,-1205.859797,-1208.292805,
24.3,-14806.352194,-1208.358498,-14865.477524,-1208.292803,-1210.725675,-14865.475334,-1208.292805,-1210.725678,-1210.725543,-1213.158280,
24.4,-14927.188044,-1213.224236,-14986.550092,-1213.158278,-1215.590880,-14986.547893,-1213.158280,-1215.590882,-1215.590747,-1218.023214,
24.5,-15048.510468,-1218.089433,-15108.109180,-1218.023212,-1220.455544,-15108.106972,-1218.023214,-1220.455547,-1220.455411,-1222.887608,
24.6,-15170.319411,-1222.954090,-15230.154734,-1222.887606,-1225.319668,-15230.152518,-1222.887608,-1225.319670,-1225.319535,-1227.751462,
24.7,-15292.614820,-1227.818206,-15352.686701,-1227.751459,-1230.183251,-15352.684476,-1227.751462,-1230.183253,-1230.183118,-1232.614775,
