t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
0.0,1.000000,-1.500000,1.000000,-1.500000,-0.927734,1.000000,-1.500000,-0.927734,-1.140099,-0.591182,
0.5,0.250000,-0.343750,0.536133,-0.737183,-0.379324,0.481096,-0.661507,-0.340385,-0.426937,-0.133814,
1.0,0.078125,-0.039062,0.346471,-0.173235,0.137370,0.286932,-0.143466,0.113764,0.142904,0.671970,
1.5,0.058594,0.109863,0.415156,0.778417,2.353292,0.373752,0.700785,2.118598,3.486566,13.760729,
2.0,0.113525,0.737915,1.591802,10.346711,41.327775,2.513072,16.334971,65.246626,186.188334,1350.452260,
2.5,0.482483,6.815071,22.255689,314.361610,1946.014428,158.317835,2236.239421,13843.147619,69837.411777,894464.104947,
3.0,3.890018,99.195471,995.262903,25379.204031,240960.535580,88830.106432,2265167.714009,21506428.053065,179420052.945081,3715427690.954982,
3.5,53.487754,2213.055816,121475.530693,5026050.082433,70600356.565894,343384315.161872,14207526039.822451,199571510008.753601,2573823476548.305176,80453445161832.156250,
4.0,1160.015662,72500.978876,35421653.813640,2213853363.352507,44322797175.586884,7168213606064.002930,448013350379000.187500,8969521283348769.000000,169313676412705696.000000,7588011575388817408.000000,
